"course","course_status","chapter","lesson","lesson_type","lesson_status","system_exercise_count","system_exercises","pdf_count","pdf_files","context_present","context_characters","content_pages","other_files","has_any_content","lesson_id"
"כיתה ח' - מתקדם","מפורסם","פונקציה","ייצוג של ישר","לימוד","מפורסם","0","","1","קטעים מיוחדים במשולש-FovzrniRVRBGKyS1wbjPUcZgERI4C5.pdf","yes","22119","","","yes","69f473b7858f1030e0d9e306"
"הכנה לז' גיבוי","טיוטה","אלגברה - הכנה","יישומים - סדר פעולות חשבון","לימוד","טיוטה","10","למידה ראשונית של סדר פעולות חשבון (ללא סוגריים) — תרגיל 1; הוספת סוגריים (הכוח החזק ביותר) — תרגיל 2; סוגריים בתוך סוגריים (סוגריים מרובעים) — תרגיל 3; הכרת החזקות בסדר הפעולות — תרגיל 4; שילוב מורכב של חזקות וסוגריים — תרגיל 5; קו שבר מתפקד כסוגריים — תרגיל 6; מלכודת משמאל לימין (כפל וחילוק) — תרגיל 7; מלכודות המספרים 0 ו-1 — תרגיל 8; השרשרת השלמה (מבחן הסיכום) — תרגיל 9; הנדסה הפוכה והצבת סוגריים — תרגיל 10","0","","no","0","","","yes","6a7454a2fc7d19d634c258b5"
"כיתה ט - מתקדם","מפורסם","אלגברה","כפל מקוצר - a^2-2ab+b^2","לימוד","מפורסם","0","","0","","no","0","","","no","69ecab8edd4d44f6eb0198fa"
"כיתה ט - מתקדם","מפורסם","אלגברה","כפל מקוצר - a^2-b^2","לימוד","מפורסם","0","","0","","no","0","","","no","69ecab6b3540f0153c5274b0"
"כיתה יא - 5 יח""ל - 571","מפורסם","מבחני מתכונת","מבחן דמה 2 - 571","בחינה","מפורסם","0","","1","מבחן דמה 2 - 571-ipDapMxvOolAjcKfNRBOSvCJ6e0H5b.pdf","yes","40954","","","yes","69c0135f8bd38ab64fcf7de2"
"כיתה ט - בסיס","מפורסם","גיאומטריה","מלבן - הוכחה","לימוד","מפורסם","0","","0","","no","0","","","no","69f45f8075de1b1b345dbe92"
"כיתה ט - בסיס","מפורסם","גיאומטריה","מלבן - תכונות","לימוד","מפורסם","0","","0","","no","0","","","no","69f45f750e1a409da7b33b40"
"כיתה י - 4 יח""ל","מפורסם","","ממוצע","לימוד","מפורסם","0","","0","","no","0","","","no","69cf7de6975606ca47ece5bb"
"כיתה ט - מתקדם","מפורסם","סטטיסטיקה והסתברות","ממוצע","לימוד","מפורסם","0","","0","","yes","27550","","","yes","69ecfbd220ded134b53d1a73"
"הכנה לכיתה ז","מפורסם","סטטיסטיקה","ממוצע - מבוא","לימוד","מפורסם","10","מהו הממוצע? הצגת הרעיון דרך ""חלוקה שווה"" — תרגיל 1; חישוב ממוצע של מספרים שלמים קטנים — תרגיל 2; ממוצע עם מספרים לא שלמים או מספרים גדולים יותר — תרגיל 3; מציאת נתון חסר כשהממוצע נתון — תרגיל 4; ממוצע עם נתונים חוזרים (הקדמה לממוצע משוקלל) — תרגיל 5; שינויים בממוצע בעקבות הוספה/הורדה של נתון — תרגיל 6; השוואת ממוצעים בין קבוצות — תרגיל 7; שימושים יום-יומיים לממוצע (ניתוח נתונים פשוט) — תרגיל 8; ממוצע של ממוצעים (חישוב ממוצע כולל לקבוצה גדולה) — תרגיל 9; יישום והבנה עמוקה של חשיבות הממוצע — תרגיל 10","0","","no","0","","","yes","6a744c66f81b54eb969dc406"
"הכנה לז' גיבוי","טיוטה","סטטיסטיקה","ממוצע - מבוא","לימוד","טיוטה","10","מהו הממוצע? הצגת הרעיון דרך ""חלוקה שווה"" — תרגיל 1; חישוב ממוצע של מספרים שלמים קטנים — תרגיל 2; ממוצע עם מספרים לא שלמים או מספרים גדולים יותר — תרגיל 3; מציאת נתון חסר כשהממוצע נתון — תרגיל 4; ממוצע עם נתונים חוזרים (הקדמה לממוצע משוקלל) — תרגיל 5; שינויים בממוצע בעקבות הוספה/הורדה של נתון — תרגיל 6; השוואת ממוצעים בין קבוצות — תרגיל 7; שימושים יום-יומיים לממוצע (ניתוח נתונים פשוט) — תרגיל 8; ממוצע של ממוצעים (חישוב ממוצע כולל לקבוצה גדולה) — תרגיל 9; יישום והבנה עמוקה של חשיבות הממוצע — תרגיל 10","0","","no","0","","","yes","6a7454a2fc7d19d634c258b4"
"הכנה לכיתה ז","מפורסם","Orphaned lessons","ממוצע חשבוני","תרגול","מפורסם","0","","1","הכנה-כיתה-ז19-ממוצע-חשבוני-GBRQGitRJ4nhTa2uZqC2wwRjzGIbjK.pdf","no","0","","","yes","6a05cd6fb9a5cb55a25ba9a5"
